"","...1","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"50",277,"Class 2 Reclaimed Water (Irrigation of sod farms, fodder, fiber and seed crops for milk-producing animals and pasture for milking cows or goats)","Domestic wastewater","nitrogen","10 mg/L","Not specified","New Mexico"
"51",282,"Class 3 Reclaimed Water (Irrigation of forest trees (silviculture), fodder, fiber and seed crops for non-milk-producing animals)","Domestic wastewater","nitrogen","10 mg/L","Not specified","New Mexico"
"52",288,"Type 1 (Direct or indirect contact irrigation of food chain crops that will be peeled, skinned, cooked or thermally processed before consumption; Crops irrigated by direct contact with reclaimed water shall not be harvested within 24 hours of irrigation)","Municipal wastewater","nitrogen","4 mg/L","Not specified","North Carolina"
"53",299,"Type 2 (Indirect contact irrigation of food chain crops that will not be peeled, skinned, cooked or thermally processed before consumption)","Municipal wastewater","nitrogen","not specified","Not specified","North Carolina"
"54",305,"Category 2 (Drip irrigation on orchards or vineyards; Spray or drip irrigation on sod farms)","Municipal wastewater","nitrogen","agronomic","Monthly","Oklahoma"
"55",313,"Category 3 (Drip or subsurface irrigation of orchards and vineyards; Irrigation of livestock pasture; Restricted access irrigation of sod farms)","Municipal wastewater","nitrogen","agronomic","Monthly","Oklahoma"
"56",317,"Category 5 (Restricted access irrigation of fiber, seed, forage and similar crops; Restricted access pasture irrigation for range cattle; Silviculture)","Municipal wastewater","nitrogen","not specified","Not specified","Oklahoma"
"57",321,"Class A (Irrigation of any agricultural or horticultural use)","Domestic wastewater","nitrogen","agronomic","Specified in each project’s Recycled Water Use Plan","Oregon"
"58",324,"Class C (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber, fodder, fiber, seed crops not intended for human ingestion)","Domestic wastewater","nitrogen","agronomic","Specified in each project’s Recycled Water Use Plan","Oregon"
"59",327,"Class D (Irrigation of sod, pasture for animals, firewood, ornamental nursery stock, Christmas trees, commercial timber)","Domestic wastewater","nitrogen","agronomic","Specified in each project’s Recycled Water Use Plan","Oregon"
"60",335,"Class B Reclaimed Water (Irrigation of root crops and spray irrigation of edible crops)","Municipal wastewater","nitrogen","not specified","Not specified","Pennsylvania"
"61",342,"Class C Reclaimed Water (Irrigation of animal fodder, animal pasture, fiber crops, commercially processed foods, seed crops and sod farms; Surface irrigation of edible crops and orchards and vineyards where there is no contact between reuse water and edible portion of crops; Silviculture)","Municipal wastewater","nitrogen","not specified","Not specified","Pennsylvania"
"62",349,"Non-food crops only (e.g., turf, tree farms)","Treated wastewater effluent","nitrogen","15 mg/L","Five-day average","Rhode Island"
"63",356,"Type I reclaimed water (Irrigation of food crops where the applied reclaimed water may have direct contact with the edible part of the crop, unless the food crop undergoes a pasteurization process and pasture for milking animals)","Municipal wastewater","nitrogen","not specified","Not specified","Texas"
"64",363,"Type II reclaimed water (Irrigation of sod farms and silviculture when the irrigation site is considered to be remote, is bordered by walls or fences and access to the site is controlled by the owner/ operator of the irrigation site and/or is restricted from public access by local ordinance or law with specific standards to achieve such a purpose; Irrigation of food crops where the reclaimed water is not likely to have direct contact with the edible part of the crop, or where the food crop undergoes pasteurization prior to distribution for consumption; Irrigation of animal feed crops other than pasture for milking animals)","Municipal wastewater","nitrogen","not specified","Not specified","Texas"
"65",371,"Type I (Irrigation of edible crops and pasture for milking animals)","Domestic wastewater","nitrogen","agronomic","n/a","Utah"
"66",377,"Type II (Irrigation of sod farms; silviculture; Irrigation of food crops with no direct contact with water, animal feed crops other than pasture for milking animals)","Domestic wastewater","nitrogen","agronomic","n/a","Utah"
"67",388,"Level 1 (Irrigation of areas with unrestricted access for any food crops not commercially processed, including crops eaten raw)","Municipal wastewater","nitrogen","not specified","Not specified","Virginia"
"68",399,"Level 2 (Irrigation of areas with restricted access for any food crops commercially processed and nonfood crops and turf, including fodder, fiber and seed crops; pasture for foraging livestock; sod farms; ornamental nurseries; and silviculture)b",NA,"nitrogen","not specified","Not specified","Virginia"
"69",406,"Class A Reclaimed Water (Irrigation of food crops (unless otherwise specified), trees, fodder, fiber or seed crops in pastures accessed by milking animals)","Municipal wastewater","nitrogen","not specified","Not specified","Washington"
"70",415,"Class B Reclaimed Water (Irrigation of nonfood crops, orchards and vineyards, process food crops, trees, fodder, fiber or seed crops in pastures not accessed by milking animals; Frost protection of orchard crops)","Municipal wastewater","nitrogen","not specified","Not specified","Washington"
"71",419,"Class A (Irrigation of land with high potential for public exposure)","Treated wastewater","nitrate","not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"72",424,"Class B (Irrigation of land with moderate potential for public exposure; irrigation of direct human consumption food crops)","Treated wastewater","nitrate","not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
"73",428,"Class C (Irrigation of land with low potential for public exposure; Irrigation of indirect human consumption food crops)","Treated wastewater","nitrate","not specified","Representative samples shall be analyzed in accordance with 40 CFR Part 136, Guidelines Establishing Test Procedures for the Analysis of Pollutants.

			

			For mechanical plants, monitoring once per week or the monitoring frequency specified in the NPDES discharge permit whichever is more frequent.

			For lagoon systems, monitoring one per month or the frequency specified in the NPDES discharge permit whichever is more frequent.","Wyoming"
